strategy,symbol,timeframe,total_return,annual_return,sharpe_ratio,max_drawdown,calmar_ratio,win_rate,total_trades,profit_factor,final_value
breakout_squeeze,SOLUSDT,4h,-2.521077138821606,-1.2685851103214518,0.08936699012219429,-30.28904365608913,-0.04188263996464685,43.75,32.0,0.9695504267726066,146.21838429176762
correlation_pruner,SOLUSDT,4h,-31.576402006044606,-17.28144223092657,0.00868308665449713,-68.03450127818351,-0.2540099788527174,40.33613445378151,119.0,0.9032252807096399,102.6353969909332
drawdown_throttle,SOLUSDT,4h,0.7368074834752367,0.3677276237114224,0.30544200046368286,-64.61011081391464,0.005691487277750148,41.964285714285715,112.0,1.0021726026871538,151.10521122521274
ensemble_vote,SOLUSDT,4h,-43.61664869977041,-24.91115175991204,-0.17365108441682356,-59.890976098276596,-0.4159416557017657,33.33333333333333,252.0,0.900968975732968,84.5750269503446
funding_arb,SOLUSDT,8h,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0
funding_arb_relaxed,SOLUSDT,8h,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0
gap_fade,SOLUSDT,1d,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0
grid_atr_adaptive,SOLUSDT,4h,-54.1182904159201,-32.26396115502479,-0.016484052956650775,-83.20924524047982,-0.3877449081743256,71.54471544715447,123.0,0.7568711838159806,68.82256437611977
grid_bollinger,SOLUSDT,4h,13.62372845102226,6.594431585811389,0.4278090238366089,-65.11247202976065,0.10127754914292462,66.86746987951807,166.0,1.0509766813736003,170.4355926765331
grid_funding_aware,SOLUSDT,4h,153.34651959292032,59.168627434215296,1.2929273117641684,-29.43948311178962,2.009839208437734,75.92592592592592,54.0,2.1009353436692466,380.01977938938046
grid_futures,SOLUSDT,4h,17.759320206648322,8.516966510609913,0.45690890047733984,-76.08502591207626,0.11194011447734942,62.62626262626263,99.0,1.0944806864910581,176.63898030997237
grid_hedged,SOLUSDT,4h,-37.27790242131103,-20.8027162216475,-0.157389775429573,-60.169869970915954,-0.34573310914088423,61.72839506172839,81.0,0.7869179218183111,94.08314636803348
