strategy,symbol,params,return_pct,sharpe,max_dd,trades,win_rate
trend_strength_sizing,BTCUSDT,"{'entry_period': 30, 'exit_period': 5, 'adx_period': 14, 'adx_min': 25, 'adx_strong': 40, 'leverage': 2}",0.7450131952970196,0.14595488252600713,54.47962308752483,114,35.08771929824561
trend_strength_sizing,BTCUSDT,"{'entry_period': 30, 'exit_period': 5, 'adx_period': 14, 'adx_min': 30, 'adx_strong': 35, 'leverage': 2}",11.450376932541985,0.2571530909315725,48.51651967084258,84,33.33333333333333
trend_strength_sizing,BTCUSDT,"{'entry_period': 30, 'exit_period': 5, 'adx_period': 14, 'adx_min': 30, 'adx_strong': 40, 'leverage': 2}",11.450376932541985,0.2571530909315725,48.51651967084258,84,33.33333333333333
trend_strength_sizing,BTCUSDT,"{'entry_period': 30, 'exit_period': 10, 'adx_period': 14, 'adx_min': 20, 'adx_strong': 35, 'leverage': 2}",15.64656828610937,0.2994899383324202,50.7848808980118,131,36.6412213740458
trend_strength_sizing,BTCUSDT,"{'entry_period': 30, 'exit_period': 10, 'adx_period': 14, 'adx_min': 20, 'adx_strong': 40, 'leverage': 2}",15.64656828610937,0.2994899383324202,50.7848808980118,131,36.6412213740458
trend_strength_sizing,BTCUSDT,"{'entry_period': 30, 'exit_period': 10, 'adx_period': 14, 'adx_min': 25, 'adx_strong': 35, 'leverage': 2}",75.0983097966888,0.698223587590943,44.930942899185865,93,40.86021505376344
trend_strength_sizing,BTCUSDT,"{'entry_period': 30, 'exit_period': 10, 'adx_period': 14, 'adx_min': 25, 'adx_strong': 40, 'leverage': 2}",75.0983097966888,0.698223587590943,44.930942899185865,93,40.86021505376344
trend_strength_sizing,BTCUSDT,"{'entry_period': 30, 'exit_period': 10, 'adx_period': 14, 'adx_min': 30, 'adx_strong': 35, 'leverage': 2}",43.385111429123775,0.5350529784883126,48.83151954658732,72,38.88888888888889
trend_strength_sizing,BTCUSDT,"{'entry_period': 30, 'exit_period': 10, 'adx_period': 14, 'adx_min': 30, 'adx_strong': 40, 'leverage': 2}",43.385111429123775,0.5350529784883126,48.83151954658732,72,38.88888888888889
trend_strength_sizing,ETHUSDT,"{'entry_period': 15, 'exit_period': 5, 'adx_period': 14, 'adx_min': 20, 'adx_strong': 35, 'leverage': 2}",-1.2545452804568982,0.20574001301270853,39.53150639546299,188,31.914893617021278
