task_id,strategy,symbol,entry_period,exit_period,adx_threshold,adx_slope_bars,leverage,total_return,annualized_return,sharpe_ratio,sortino_ratio,max_drawdown,max_dd_duration_bars,calmar_ratio,total_trades,win_rate,avg_trade_pnl,avg_win,avg_loss,best_trade,worst_trade,profit_factor,payoff_ratio,net_profit,total_fees,volatility_ann,initial_capital,final_value,total_pnl,annual_return,maker_fee,taker_fee,slippage_bps
1d-eth,trend_donchian_adx_slope,ETHUSDT,15,5,20,3,1,241.15411172573715,70.76928662351361,1.5034981005115544,1.300727993803423,-30.524250181369993,945.0,2.3184610990610524,82.0,48.78048780487805,294.0903801533379,1241.0270597913004,-607.7540766447216,6877.691978292612,-2082.6264845755213,1.9447513041126008,2.0419888693182306,24115.411172573706,0.0,41.16035540856005,10000,34115.411172573724,24115.411172573724,70.76928662351361,0.02,0.04,2.0
1d-eth,trend_donchian_adx_slope,ETHUSDT,20,5,20,3,1,234.42176265032623,69.29144454559446,1.4900324532585825,1.281526144504862,-30.882457811680688,945.0,2.243715347014457,80.0,48.75,293.027203312908,1243.9894304869445,-611.5466225355655,6741.967325886133,-2041.5278490734224,1.934941631003549,2.034169406952449,23442.176265032642,0.0,40.86931998122882,10000,33442.176265032635,23442.176265032635,69.29144454559446,0.02,0.04,2.0
1d-eth,trend_donchian_adx_slope,ETHUSDT,25,5,20,3,1,229.5275888713234,68.20654531278186,1.4821327976388348,1.254385115878718,-33.63895116452239,945.0,2.027606181274655,77.0,49.35064935064935,298.0877777549652,1247.1709072428719,-626.6598868742769,6643.300422620781,-2037.2729696658128,1.9391574145471242,1.99018787282468,22952.75888713232,0.0,40.57361104090833,10000,32952.758887132346,22952.758887132346,68.20654531278186,0.02,0.04,2.0
1d-eth,trend_donchian_adx_slope,ETHUSDT,20,5,20,5,1,207.48943925218413,63.20505333063742,1.4327400225613784,1.1926862020159485,-32.178577263186206,945.0,1.964196639698765,77.0,46.75324675324675,269.4668042236157,1189.7091680512485,-538.5508810884522,6199.009705779535,-1877.1154381650772,1.9396917186938734,2.2090933462902447,20748.94392521841,0.0,39.59909941679835,10000,30748.943925218413,20748.943925218413,63.20505333063742,0.02,0.04,2.0
1d-eth,trend_donchian_adx_slope,ETHUSDT,25,5,20,5,1,205.0589185592065,62.641232690183976,1.4319872637435724,1.1719835323583152,-34.88337976390227,945.0,1.7957328995685753,74.0,47.2972972972973,277.1066467016303,1199.3425756874371,-550.5409818753758,6150.010229886937,-1885.997743208203,1.95504624756306,2.1784801044274094,20505.891855920643,0.0,39.29618819967886,10000,30505.89185592066,20505.89185592066,62.641232690183976,0.02,0.04,2.0
1d-eth,trend_donchian_adx_slope,ETHUSDT,30,5,20,3,1,198.27141791159536,61.05315357756227,1.3901739275831313,1.1547410236732958,-33.63895116452247,945.0,1.8149541369159083,76.0,48.68421052631579,260.8834446205203,1200.687824777274,-630.7258391179382,6013.173717729465,-1905.125649100255,1.8060368222211212,1.9036604342330736,19827.141791159545,0.0,39.96166789648398,10000,29827.141791159538,19827.141791159538,61.05315357756227,0.02,0.04,2.0
1d-eth,trend_donchian_adx_slope,ETHUSDT,15,5,20,5,1,194.8298568616753,60.24013657089269,1.3828538731868136,1.1474111699580063,-30.67326499988502,945.0,1.9639297143984673,78.0,46.15384615384615,249.78186777137853,1148.5721274044813,-520.6097833427094,5943.791593896618,-1799.833117173047,1.8910332199232833,2.206205423243831,19482.985686167525,0.0,39.745976566058786,10000,29482.985686167543,19482.985686167543,60.24013657089269,0.02,0.04,2.0
1d-eth,trend_donchian_adx_slope,ETHUSDT,30,5,20,5,1,189.36358594686723,58.937734975913614,1.3772387455506898,1.1224213928673223,-34.88337976390227,945.0,1.689564926759278,74.0,47.2972972972973,255.89673776603672,1165.0838447444178,-560.0404095222541,5833.591170305729,-1848.229352188197,1.8669868245547097,2.080356747360962,18936.358594686717,0.0,39.14365800924042,10000,28936.358594686724,18936.358594686724,58.937734975913614,0.02,0.04,2.0
1d-eth,trend_donchian_adx_slope,ETHUSDT,20,5,20,3,2,326.3589433561617,88.20589790678663,1.2679448466234564,1.0554227704247918,-37.84195904701907,826.0,2.3309019968334566,80.0,48.75,407.9486791952027,2041.9826863723335,-1146.3763520220677,15018.898168556601,-5174.412237018993,1.6943595978893546,1.7812498336785523,32635.894335616216,0.0,67.54689833486547,10000,42635.89433561617,32635.89433561617,88.20589790678663,0.02,0.04,2.0
1d-eth,trend_donchian_adx_slope,ETHUSDT,15,5,20,3,2,329.26520784689933,88.76427532871958,1.2670397318226543,1.058141648992255,-37.51981963277513,828.0,2.3657969627119493,82.0,48.78048780487805,401.54293639865733,2002.9441731984389,-1123.6010986487538,15121.274091748648,-5209.683481540123,1.697725181588602,1.7826114406680322,32926.5207846899,0.0,68.15850456907235,10000,42926.520784689936,32926.520784689936,88.76427532871958,0.02,0.04,2.0
