task_id,strategy,symbol,bb_period,bb_std,kc_ema,kc_atr,kc_mult,leverage,total_return,annualized_return,sharpe_ratio,sortino_ratio,max_drawdown,max_dd_duration_bars,calmar_ratio,total_trades,win_rate,avg_trade_pnl,avg_win,avg_loss,best_trade,worst_trade,profit_factor,payoff_ratio,net_profit,total_fees,volatility_ann,initial_capital,final_value,total_pnl,annual_return,maker_fee,taker_fee,slippage_bps
2b,breakout_squeeze,BTCUSDT,30,2.5,15,7,2.0,1,46.91067408621995,18.262984053978283,1.334670309570366,0.4365197945169199,-16.84291547817215,4211.0,1.0843125157070634,11.0,63.63636363636363,426.4606735110903,865.7794014432418,-342.34710037017464,1992.2084905254899,-462.44323449975235,4.425666088269489,2.5289520504397083,4691.067408621993,0.0,13.210750187908987,10000.0,14691.067408621995,4691.067408621995,18.262984053978283,0.02,0.04,2.0
2b,breakout_squeeze,BTCUSDT,30,2.0,20,14,1.0,1,16.873345614913795,7.03589603735344,1.2540321971682225,0.27530627506546457,-2.667259845856884,4757.0,2.6378742394680663,1.0,100.0,1687.3345614913792,1687.3345614913792,0.0,1687.3345614913792,1687.3345614913792,inf,inf,1687.3345614913792,0.0,5.537495283215142,10000.0,11687.33456149138,1687.3345614913796,7.03589603735344,0.02,0.04,2.0
2b,breakout_squeeze,BTCUSDT,30,2.0,15,7,1.0,1,16.873345614913795,7.03589603735344,1.2540321971682225,0.27530627506546457,-2.667259845856884,4757.0,2.6378742394680663,1.0,100.0,1687.3345614913792,1687.3345614913792,0.0,1687.3345614913792,1687.3345614913792,inf,inf,1687.3345614913792,0.0,5.537495283215142,10000.0,11687.33456149138,1687.3345614913796,7.03589603735344,0.02,0.04,2.0
2b,breakout_squeeze,BTCUSDT,30,2.0,20,10,1.0,1,16.873345614913795,7.03589603735344,1.2540321971682225,0.27530627506546457,-2.667259845856884,4757.0,2.6378742394680663,1.0,100.0,1687.3345614913792,1687.3345614913792,0.0,1687.3345614913792,1687.3345614913792,inf,inf,1687.3345614913792,0.0,5.537495283215142,10000.0,11687.33456149138,1687.3345614913796,7.03589603735344,0.02,0.04,2.0
2b,breakout_squeeze,BTCUSDT,30,2.0,15,10,1.0,1,16.873345614913795,7.03589603735344,1.2540321971682225,0.27530627506546457,-2.667259845856884,4757.0,2.6378742394680663,1.0,100.0,1687.3345614913792,1687.3345614913792,0.0,1687.3345614913792,1687.3345614913792,inf,inf,1687.3345614913792,0.0,5.537495283215142,10000.0,11687.33456149138,1687.3345614913796,7.03589603735344,0.02,0.04,2.0
2b,breakout_squeeze,BTCUSDT,25,2.0,15,10,1.0,1,18.188400816778778,7.559440270584394,1.1631120170038611,0.3015399870051875,-3.2572026496505035,4757.0,2.320838180392466,2.0,100.0,909.4200408389393,909.4200408389393,0.0,1706.3203968048206,112.51968487305801,inf,inf,1818.8400816778785,0.0,6.4345667629161465,10000.0,11818.840081677878,1818.8400816778776,7.559440270584394,0.02,0.04,2.0
2b,breakout_squeeze,BTCUSDT,25,2.0,20,10,1.0,1,18.188400816778778,7.559440270584394,1.1631120170038611,0.3015399870051875,-3.2572026496505035,4757.0,2.320838180392466,2.0,100.0,909.4200408389393,909.4200408389393,0.0,1706.3203968048206,112.51968487305801,inf,inf,1818.8400816778785,0.0,6.4345667629161465,10000.0,11818.840081677878,1818.8400816778776,7.559440270584394,0.02,0.04,2.0
2b,breakout_squeeze,BTCUSDT,25,2.0,20,14,1.0,1,18.188400816778778,7.559440270584394,1.1631120170038611,0.3015399870051875,-3.2572026496505035,4757.0,2.320838180392466,2.0,100.0,909.4200408389393,909.4200408389393,0.0,1706.3203968048206,112.51968487305801,inf,inf,1818.8400816778785,0.0,6.4345667629161465,10000.0,11818.840081677878,1818.8400816778776,7.559440270584394,0.02,0.04,2.0
2b,breakout_squeeze,BTCUSDT,25,2.0,15,14,1.0,1,18.188400816778778,7.559440270584394,1.1631120170038611,0.3015399870051875,-3.2572026496505035,4757.0,2.320838180392466,2.0,100.0,909.4200408389393,909.4200408389393,0.0,1706.3203968048206,112.51968487305801,inf,inf,1818.8400816778785,0.0,6.4345667629161465,10000.0,11818.840081677878,1818.8400816778776,7.559440270584394,0.02,0.04,2.0
2b,breakout_squeeze,BTCUSDT,30,2.0,25,10,1.0,1,14.94831640795608,6.263485136761338,1.145249849632818,0.24638189950026707,-2.6672598458569285,4757.0,2.3482845687083875,1.0,100.0,1494.8316407956088,1494.8316407956088,0.0,1494.8316407956088,1494.8316407956088,inf,inf,1494.8316407956088,0.0,5.4264337067030075,10000.0,11494.831640795608,1494.831640795608,6.263485136761338,0.02,0.04,2.0
