timestamp,equity
2023-01-01,150.0
2023-01-02,150.0
2023-01-03,150.0
2023-01-04,150.0
2023-01-05,150.0
2023-01-06,150.0
2023-01-07,150.0
2023-01-08,149.98830701579053
2023-01-09,150.2943197823451
2023-01-10,150.72334511441187
2023-01-11,151.52164019382448
2023-01-12,152.20528571446525
2023-01-13,153.50549005784174
2023-01-14,155.73837551947037
2023-01-15,155.72018776453893
2023-01-16,156.31505134006736
2023-01-17,156.1049004063686
2023-01-18,155.29771841001477
2023-01-19,156.0612080298388
2023-01-20,157.68773141962413
2023-01-21,157.59644012918346
2023-01-22,157.5476857769151
2023-01-23,157.65271966833032
2023-01-24,157.42438231193466
2023-01-25,157.76229830988086
2023-01-26,157.76229830988086
2023-01-27,157.76229830988086
2023-01-28,157.76229830988086
2023-01-29,157.64978146306635
2023-01-30,157.20026933491985
2023-01-31,157.20026933491985
2023-02-01,157.20026933491985
2023-02-02,157.20026933491985
2023-02-03,157.20026933491985
2023-02-04,157.20026933491985
2023-02-05,157.23394981834488
2023-02-06,156.9089066724771
2023-02-07,157.94725061386498
2023-02-08,157.7314688711233
2023-02-09,156.8519366168146
2023-02-10,157.26560548976107
2023-02-11,156.99921566510795
2023-02-12,157.2633528235655
2023-02-13,157.1911003498928
2023-02-14,156.94961916870773
2023-02-15,158.8079234843346
2023-02-16,157.03638347014908
2023-02-17,158.03152734492318
2023-02-18,158.06025257273853
2023-02-19,157.77113069212783
2023-02-20,157.77113069212783
2023-02-21,157.67631434888438
2023-02-22,157.72188137565973
2023-02-23,157.66268758569979
2023-02-24,156.78874790492543
2023-02-25,156.33976927265363
2023-02-26,157.12372184773255
2023-02-27,156.96708501354314
2023-02-28,156.70219611629193
2023-03-01,156.95424357394722
2023-03-02,156.79647310367184
2023-03-03,156.4283302015093
2023-03-04,156.32172843284923
2023-03-05,156.33433323762287
2023-03-06,156.332651326475
2023-03-07,156.23138221683288
2023-03-08,155.70445792637304
2023-03-09,157.5696942640222
2023-03-10,158.13608326023808
2023-03-11,157.29627919777747
2023-03-12,158.15285866793135
2023-03-13,159.8236628931565
2023-03-14,160.70804031431206
2023-03-15,159.79884153121947
2023-03-16,161.0395685215997
2023-03-17,163.4768889409648
2023-03-18,162.5976447136922
2023-03-19,163.86636941773327
2023-03-20,163.29287368864493
2023-03-21,164.27942921741646
2023-03-22,163.4127273363033
2023-03-23,164.30816285209093
2023-03-24,164.30816285209093
2023-03-25,164.30816285209093
2023-03-26,164.30816285209093
2023-03-27,164.30816285209093
2023-03-28,164.30816285209093
2023-03-29,164.30816285209093
2023-03-30,164.30816285209093
2023-03-31,164.30816285209093
2023-04-01,164.306300315389
2023-04-02,164.51989192466704
2023-04-03,164.8660550876569
2023-04-04,164.98183431903004
2023-04-05,164.9375005848964
2023-04-06,164.43401869500101
2023-04-07,164.39006779372056
2023-04-08,164.2875994067352
2023-04-09,164.5421403269477
