strategy,symbol,timeframe,entry_period,exit_period,adx_threshold,atr_stop_mult,leverage,total_return,annualized_return,sharpe_ratio,sortino_ratio,max_drawdown,max_dd_duration_bars,calmar_ratio,total_trades,win_rate,avg_trade_pnl,avg_win,avg_loss,best_trade,worst_trade,profit_factor,payoff_ratio,net_profit,total_fees,volatility_ann,initial_capital,final_value,total_pnl,annual_return,maker_fee,taker_fee,slippage_bps,bb_period,bb_std,rsi_oversold,rsi_overbought,grid_count,ema_period
trend_donchian,BTCUSDT,4h,30.0,5.0,30.0,2.0,1,48.37825270438758,18.77672670815249,1.1791012780905397,0.5049984510192329,-10.415319506717047,1629.0,1.8027989151982333,16.0,56.25,302.36407940242225,865.1938799697552,-421.2742356127201,2871.549888925007,-676.3769912847395,2.640541569725413,2.053754554230877,4837.825270438756,0.0,15.6274863685982,10000.0,14837.825270438761,4837.825270438761,18.77672670815249,0.02,0.04,2.0,,,,,,
trend_donchian,BTCUSDT,4h,30.0,5.0,30.0,2.0,2,48.37825270438758,18.77672670815249,1.1791012780905397,0.5049984510192329,-10.415319506717047,1629.0,1.8027989151982333,16.0,56.25,302.36407940242225,865.1938799697552,-421.2742356127201,2871.549888925007,-676.3769912847395,2.640541569725413,2.053754554230877,4837.825270438756,0.0,15.6274863685982,10000.0,14837.825270438761,4837.825270438761,18.77672670815249,0.02,0.04,2.0,,,,,,
trend_donchian,BTCUSDT,4h,30.0,5.0,30.0,1.5,1,48.37825270438758,18.77672670815249,1.1791012780905397,0.5049984510192329,-10.415319506717047,1629.0,1.8027989151982333,16.0,56.25,302.36407940242225,865.1938799697552,-421.2742356127201,2871.549888925007,-676.3769912847395,2.640541569725413,2.053754554230877,4837.825270438756,0.0,15.6274863685982,10000.0,14837.825270438761,4837.825270438761,18.77672670815249,0.02,0.04,2.0,,,,,,
trend_donchian,BTCUSDT,4h,30.0,5.0,30.0,2.5,2,48.37825270438758,18.77672670815249,1.1791012780905397,0.5049984510192329,-10.415319506717047,1629.0,1.8027989151982333,16.0,56.25,302.36407940242225,865.1938799697552,-421.2742356127201,2871.549888925007,-676.3769912847395,2.640541569725413,2.053754554230877,4837.825270438756,0.0,15.6274863685982,10000.0,14837.825270438761,4837.825270438761,18.77672670815249,0.02,0.04,2.0,,,,,,
trend_donchian,BTCUSDT,4h,30.0,5.0,30.0,1.5,3,48.37825270438758,18.77672670815249,1.1791012780905397,0.5049984510192329,-10.415319506717047,1629.0,1.8027989151982333,16.0,56.25,302.36407940242225,865.1938799697552,-421.2742356127201,2871.549888925007,-676.3769912847395,2.640541569725413,2.053754554230877,4837.825270438756,0.0,15.6274863685982,10000.0,14837.825270438761,4837.825270438761,18.77672670815249,0.02,0.04,2.0,,,,,,
trend_donchian,BTCUSDT,4h,30.0,5.0,30.0,1.5,2,48.37825270438758,18.77672670815249,1.1791012780905397,0.5049984510192329,-10.415319506717047,1629.0,1.8027989151982333,16.0,56.25,302.36407940242225,865.1938799697552,-421.2742356127201,2871.549888925007,-676.3769912847395,2.640541569725413,2.053754554230877,4837.825270438756,0.0,15.6274863685982,10000.0,14837.825270438761,4837.825270438761,18.77672670815249,0.02,0.04,2.0,,,,,,
trend_donchian,BTCUSDT,4h,30.0,5.0,30.0,2.5,3,48.37825270438758,18.77672670815249,1.1791012780905397,0.5049984510192329,-10.415319506717047,1629.0,1.8027989151982333,16.0,56.25,302.36407940242225,865.1938799697552,-421.2742356127201,2871.549888925007,-676.3769912847395,2.640541569725413,2.053754554230877,4837.825270438756,0.0,15.6274863685982,10000.0,14837.825270438761,4837.825270438761,18.77672670815249,0.02,0.04,2.0,,,,,,
trend_donchian,BTCUSDT,4h,30.0,5.0,30.0,2.0,3,48.37825270438758,18.77672670815249,1.1791012780905397,0.5049984510192329,-10.415319506717047,1629.0,1.8027989151982333,16.0,56.25,302.36407940242225,865.1938799697552,-421.2742356127201,2871.549888925007,-676.3769912847395,2.640541569725413,2.053754554230877,4837.825270438756,0.0,15.6274863685982,10000.0,14837.825270438761,4837.825270438761,18.77672670815249,0.02,0.04,2.0,,,,,,
trend_donchian,BTCUSDT,4h,30.0,5.0,30.0,2.5,1,48.37825270438758,18.77672670815249,1.1791012780905397,0.5049984510192329,-10.415319506717047,1629.0,1.8027989151982333,16.0,56.25,302.36407940242225,865.1938799697552,-421.2742356127201,2871.549888925007,-676.3769912847395,2.640541569725413,2.053754554230877,4837.825270438756,0.0,15.6274863685982,10000.0,14837.825270438761,4837.825270438761,18.77672670815249,0.02,0.04,2.0,,,,,,
trend_donchian,BTCUSDT,4h,25.0,5.0,30.0,2.0,2,40.42923264014289,15.958732530888708,1.0171332418493082,0.4384141697447134,-15.214610573372124,1629.0,1.0489083801342187,17.0,52.94117647058824,237.81901553025227,863.797732910585,-466.40704152262197,2871.549888925007,-818.5720083302756,2.0835286841982095,1.852025497065075,4042.9232640142886,0.0,15.778793961293403,10000.0,14042.923264014293,4042.9232640142927,15.958732530888708,0.02,0.04,2.0,,,,,,
