strategy,symbol,timeframe,total_return,annual_return,sharpe_ratio,max_drawdown,calmar_ratio,win_rate,total_trades,profit_factor,final_value
breakout_squeeze,ETHUSDT,4h,1.9035654413869074,0.9472958733352632,0.1604401996879255,-30.567254854930358,0.030990544549422263,25.71428571428571,35.0,1.0247531875580966,152.85534816208025
correlation_pruner,ETHUSDT,4h,-27.011547875451335,-14.566720697055846,-0.011779173927018454,-60.85404853251273,-0.23937143129061048,35.08771929824561,114.0,0.9071176920465799,109.48267818682308
drawdown_throttle,ETHUSDT,4h,-29.568639882836173,-16.076606290520033,-0.08075615501579307,-61.66639613176499,-0.26070286734721004,33.035714285714285,112.0,0.8858451248431284,105.64704017574574
ensemble_vote,ETHUSDT,4h,66.51662104840607,29.041319370349772,0.7514139769070641,-36.186816589625536,0.8025386620683203,32.63598326359833,239.0,1.1359058508953503,249.77493157260892
funding_arb,ETHUSDT,8h,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0
funding_arb_relaxed,ETHUSDT,8h,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0
gap_fade,ETHUSDT,1d,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0
grid_atr_adaptive,ETHUSDT,4h,-87.34148954776174,-64.4211994971187,-0.8479907574750097,-92.51427552688602,-0.69633793412128,69.44444444444444,108.0,0.46501092077011436,18.98776567835739
grid_bollinger,ETHUSDT,4h,-55.60803171151565,-33.37270207453679,-0.43551993974312947,-75.46684166699835,-0.442216758212775,67.26190476190477,168.0,0.7759887363605628,66.58795243272651
grid_funding_aware,ETHUSDT,4h,-5.538483944501593,-2.8086855446957104,0.0855444145872118,-41.31159675625634,-0.06798782340143643,67.74193548387096,31.0,0.9338171073073712,141.69227408324764
grid_futures,ETHUSDT,4h,3.9443906817623047,1.953121914810585,0.27850740821513414,-48.60326511595032,0.04018499395361859,63.63636363636363,88.0,1.024585019021217,155.91658602264346
grid_hedged,ETHUSDT,4h,-51.353569149494085,-30.25300662357845,-0.4497916438637367,-68.10473638671985,-0.4442129612218521,64.28571428571429,84.0,0.6847953539305767,72.96964627575878
grid_ranging_only,ETHUSDT,4h,-27.885535599820948,-15.079764248926475,-0.747788680941916,-29.860261399348776,-0.5050111265688837,49.48453608247423,97.0,0.7262386554456775,108.17169660026872
grid_stopout,ETHUSDT,4h,-30.784555824210003,-16.80418028783538,-0.2158661088075389,-53.51393719258406,-0.3140150242984569,66.44736842105263,152.0,0.8682530198426954,103.82316626368497
grid_trend_bias,ETHUSDT,4h,94.95695490305229,39.626986969945136,1.3535016023923048,-25.435036696566026,1.5579685393296545,77.27272727272727,66.0,1.9198264602252584,292.4354323545784
heikin_ashi_trend,ETHUSDT,4h,4.290975570381572,2.122953135121186,0.264063389111742,-37.693823942457094,0.05632098081537334,29.310344827586203,406.0,1.0095615091297954,156.43646335557239
ichimoku_cloud,ETHUSDT,4h,-29.538640225844752,-16.05873495463912,-0.0350614296395791,-59.10989914134171,-0.2716758984183002,21.951219512195124,164.0,0.8985486248900091,105.69203966123281
kelly_sizer,ETHUSDT,4h,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0
long_horizon_eth,ETHUSDT,1d,155.35986014836863,59.799831085132446,1.211193239835717,-21.456727862174297,2.7869967624724628,62.5,8.0,25.026600743382566,383.03979022255294
long_horizon_sol,ETHUSDT,1d,-14.13961296639879,-7.339119886760614,0.09997231432319635,-51.59777891334021,-0.142237128057137,50.0,18.0,0.8890750777138313,128.7905805504019
macd_trend,ETHUSDT,4h,88.60846242556799,37.33479618274751,0.9393275445332298,-33.859222406739654,1.102647773013123,31.25,160.0,1.2338682724717007,282.912693638352
mean_reversion_bb,ETHUSDT,1h,-82.70430117919759,-58.41190215842709,-2.8808904530383534,-82.9476473944235,-0.7042020357813557,41.17647058823529,289.0,0.5787670247344253,25.943548231203714
momentum_ranking,ETHUSDT,1d,279.5839910674838,94.82915363658586,1.5286514829968705,-26.30286623737813,3.6052783290144745,61.53846153846154,13.0,4.151804504167814,569.3759866012257
momentum_roc,ETHUSDT,4h,-39.500224505268875,-22.21839838706642,-0.19359512595312808,-57.6455735118772,-0.38543112737855884,31.690140845070424,142.0,0.873146622883649,90.74966324209669
mr_kalman,ETHUSDT,1h,-79.23317587176831,-54.42936896615136,-1.5903030170346126,-82.37574369396113,-0.6607450995327586,61.94690265486725,452.0,0.6984314044033331,31.15023619234736
mrbb_atr_stop,ETHUSDT,1h,4.655117531649277,2.3010838318193283,1.1538086489393202,-1.221845900090468,1.8832848165623433,75.0,4.0,7.5674734669398065,156.9826762974739
mrbb_dual,ETHUSDT,1h,-76.77554608481047,-51.80824353150268,-1.062002851047986,-81.41284817424258,-0.6363644644960817,65.53254437869822,676.0,0.8314468554632453,34.83668087278418
mrbb_middle_exit,ETHUSDT,1h,-78.05052774903484,-53.14973612564691,-2.0458184506952133,-79.99148045548861,-0.6644424609095985,57.668711656441715,326.0,0.5702110829534228,32.92420837644738
mrbb_partial_tp,ETHUSDT,1h,21.533225645239305,10.24210885375847,0.4909274431286279,-64.88656433311165,0.1578463732673224,66.7420814479638,442.0,1.016421340930939,182.29983846785856
mrbb_regime,ETHUSDT,1h,-15.451277159092788,-8.049620533188007,-0.40622872132240845,-29.021574516298397,-0.2773667751440354,59.25925925925925,54.0,0.7541936520735882,126.82308426136076
mrbb_rsi_div,ETHUSDT,1h,-46.27592854954018,-26.703293764003412,-1.2763735086141372,-52.20690090918156,-0.5114897321803512,60.0,55.0,0.359560302679479,80.58610717568962
mrbb_vwap,ETHUSDT,1h,-58.030162029264986,-35.215867706100276,-0.8805031677561029,-62.44958729266495,-0.5639087339530997,62.37288135593221,295.0,0.7916407496206027,62.954756956102685
mrbb_zscore,ETHUSDT,1h,-85.19636052755821,-61.524501988353954,-1.6538357179161767,-87.30431470437775,-0.7047131885369338,64.4,750.0,0.7765325844311942,22.205459208662912
opening_range_breakout,ETHUSDT,4h,-27.221440634060013,-14.689649299783092,0.007541356243534427,-54.9578156189229,-0.2672895407932698,36.44314868804665,686.0,0.9611775894830447,109.16783904890936
pin_bar_reversal,ETHUSDT,4h,-61.07762075642924,-37.61219731103622,-0.650966949533723,-75.94734722302415,-0.4952404354636067,67.05882352941175,170.0,0.6793619179960797,58.38356886535615
regime_switcher,ETHUSDT,4h,-15.26705343529135,-7.949499423029405,-0.13524292859780596,-35.93652531074044,-0.22120946180218257,46.15384615384615,130.0,0.9180645090847164,127.09941984706303
risk_parity,ETHUSDT,4h,-15.704948643986643,-8.187663489042297,0.06871051241634638,-45.01941417264801,-0.18186961424337664,33.0,100.0,0.931166871709382,126.44257703402003
rsi2_connors,ETHUSDT,1h,-63.80628998060072,-39.838791551865185,-1.7502833389009953,-66.23662738448802,-0.6014616553558862,58.764367816091955,696.0,0.7106782689279577,54.29056502909913
spot_perp_basis,ETHUSDT,1h,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0
stochastic_reversal,ETHUSDT,1h,-39.90140342379829,-22.47671538421394,-0.35449494060361153,-66.14781893020518,-0.33979526079204353,59.63636363636363,275.0,0.85597969168102,90.14789486430256
supertrend_follow,ETHUSDT,4h,33.43762271455,15.515203637681395,0.543894862975073,-49.63042160756561,0.312614786156003,37.5,104.0,1.098914625364933,200.15643407182506
trend_donchian,ETHUSDT,4h,-17.549517327590518,-9.197751860204761,0.022060154523481392,-54.293068173614024,-0.16940932184552412,38.23529411764706,68.0,0.9005099565429046,123.67572400861417
trend_donchian_adaptive,ETHUSDT,4h,-29.806781557575924,-16.21860681367009,-0.12254370501249484,-55.42640568074633,-0.29261516445949165,36.36363636363637,77.0,0.8402957360933,105.28982766363623
trend_donchian_adx_slope,ETHUSDT,4h,52.72291470254961,23.581112918823322,0.6889531206745386,-26.801461505974945,0.8798442918333502,45.3125,64.0,1.2676414421214641,229.08437205382452
trend_donchian_atr_trail,ETHUSDT,4h,27.447774119901663,12.89276952927574,0.493921563884629,-41.21361321186491,0.3128279353474416,32.857142857142854,70.0,1.1223848655103075,191.17166117985252
trend_donchian_chandelier,ETHUSDT,4h,27.447774119901663,12.89276952927574,0.493921563884629,-41.21361321186491,0.3128279353474416,32.857142857142854,70.0,1.1223848655103075,191.17166117985252
trend_donchian_keltner,ETHUSDT,4h,60.19612602376069,26.568608281738125,0.7488188716124102,-30.18812683708173,0.8801012538844394,39.361702127659576,94.0,1.2179121837228184,240.29418903564093
trend_donchian_mtf,ETHUSDT,4h,-7.9196371891723825,-4.041486666983207,0.015745027637878488,-45.68056682939612,-0.08847277841531623,41.17647058823529,17.0,0.8596471456402807,138.12054421624146
trend_donchian_pyramid,ETHUSDT,4h,-31.868026111571673,-17.45790535222145,-0.10816003242807216,-52.59457763971203,-0.33193355923139295,35.483870967741936,93.0,0.8550407880259693,102.19796083264261
trend_donchian_turtle,ETHUSDT,4h,-56.12156783371428,-33.75920277783055,-0.3203991351321743,-76.61258672324114,-0.44064825666027785,35.35353535353536,99.0,0.7676055148655033,65.81764824942859
trend_donchian_v2,ETHUSDT,4h,9.339809523526185,4.565677697572523,0.31490941092790053,-44.700241195385814,0.10213988952801928,40.816326530612244,49.0,1.0674603185053981,164.00971428528916
trend_donchian_volume,ETHUSDT,4h,-4.815607368504838,-2.4375109832189823,0.16859137164868948,-46.64932721145715,-0.05225179287516768,42.62295081967213,61.0,0.9731526962743855,142.77658894724263
volatility_expansion,ETHUSDT,4h,-20.493362947784657,-10.8335057029742,-0.762496332532974,-20.868337544536033,-0.5191360202916951,20.0,5.0,0.10685654387402066,119.259955578323
walk_forward_trend,ETHUSDT,4h,-0.6827442515170598,-0.34195679801708456,0.25069781490868437,-48.8083602321463,-0.007006111174205439,38.20224719101123,89.0,0.9972943389114823,148.9758836227242
