strategy,symbol,timeframe,allocation,capital,final_value,return_pct,sharpe,sortino,max_dd_pct,calmar,trades,win_rate
trend_donchian_mtf_btc,BTCUSDT,4h,0.16,24.0,36.30910091399574,51.287920474982265,1.0181186521018677,0.2723338086168533,-12.305853336796002,1.085740522853133,7.0,71.42857142857143
trend_donchian_adx_slope_eth,ETHUSDT,4h,0.1,15.0,51.19938313413694,241.32922089424662,0.9336889254973999,0.7240614555813107,-39.007571182461106,1.154757969348799,109.0,42.201834862385326
trend_donchian_adx_slope_btc,BTCUSDT,4h,0.08,12.0,20.91372591899882,74.28104932499018,0.598045597800396,0.49827318347283484,-41.06930542625378,0.44619209158105017,110.0,43.63636363636363
trend_donchian_mtf_xrp,XRPUSDT,4h,0.04,6.0,13.310404249885533,121.84007083142549,1.0681036515777806,0.2657943021265003,-21.112656501306514,1.2929062225784977,5.0,80.0
trend_donchian_mtf_bnb,BNBUSDT,4h,0.02,3.0,5.202362355234552,73.41207850781845,1.0114978039344178,0.4104230072009053,-16.581981784363265,1.0943072494975874,10.0,70.0
momentum_ranking_eth,ETHUSDT,1d,0.09,13.5,130.16698676332348,864.1999019505442,1.3797733494233995,1.55390492845583,-66.91056878996241,1.4744936500884396,10.0,90.0
momentum_ranking_bnb,BNBUSDT,1d,0.07,10.500000000000002,105.09185684622724,900.874827106926,1.3790476497614805,1.7996529742988678,-55.57069539515281,1.816035352409916,8.0,87.5
momentum_ranking_sol,SOLUSDT,1d,0.03,4.5,46.63972773902374,936.4383942005276,1.2151032270660613,1.5389186047948993,-54.82858852056949,1.879577215908085,33.0,42.42424242424242
grid_trend_bias_xrp,XRPUSDT,4h,0.06,9.0,20.796543504146598,131.07270560162863,1.0307624836487168,0.26236868094202326,-44.02601209874716,0.6559461676369499,37.0,72.97297297297297
tail_risk_hedge_bnb,BNBUSDT,1d,0.06,9.0,21.162226534483842,135.1358503831538,1.4269821354878534,1.0687765019732234,-15.505966658812332,1.9064251675753308,12.0,83.33333333333334
tail_risk_hedge_sol,SOLUSDT,1d,0.05,7.5,42.92273771716179,472.3031695621573,1.2430728004134175,1.5011655735492582,-39.26252370150613,1.7733051888978648,59.0,62.71186440677966
grid_trend_bias_btc,BTCUSDT,4h,0.03,4.5,7.053915397005168,56.75367548900376,1.601546866399034,0.5250581141599592,-7.42182061145914,1.9653138188508377,16.0,75.0
grid_trend_bias_sol,SOLUSDT,4h,0.03,4.5,19.315958001341187,329.2435111409156,1.0501114860190723,0.5180485700835309,-62.39084273712812,0.8890856999633396,96.0,72.91666666666666
tail_risk_hedge_btc,BTCUSDT,1d,0.04,6.0,11.69823178593556,94.97052976559263,1.2405187453091404,0.838601684684325,-12.748148314017726,1.7582567228021928,12.0,50.0
grid_trend_bias_eth,ETHUSDT,4h,0.07,10.500000000000002,53.162746277913755,406.31186931346423,1.8633678356937573,0.9736938100396383,-25.317121448285185,2.5060089348729617,69.0,79.71014492753623
pair_btc_eth,BTCUSDT,4h,0.05,7.5,22.334213695570824,197.7895159409443,1.0892168710239112,0.95301333865783,-25.441598253697784,1.5396510642712458,59.0,76.27118644067797
funding_reversal_eth,ETHUSDT,4h,0.03,4.5,8.295931661951835,84.354036932263,1.320753838253692,0.46959258025074124,-16.77388702041792,1.2135472488119663,55.0,61.81818181818181
