ts,open,high,low,close,volume,quote_vol,trades,tbv,tbqv
1713312000000,63793.40000000,64239.67000000,63581.16000000,64022.59000000,1510.48144000,96364691.85509880,61028,856.01950000,54607299.87404670
1713315600000,64022.60000000,64048.79000000,63615.00000000,64017.64000000,878.04151000,56066573.42316470,51883,428.61171000,27368090.49770840
1713319200000,64017.64000000,64295.00000000,63694.28000000,63840.08000000,1415.68284000,90506695.69633390,64892,712.06764000,45547056.31892050
1713322800000,63840.09000000,64067.41000000,63733.92000000,63842.02000000,603.89544000,38606392.84515590,39597,261.50684000,16720961.32210780
1713326400000,63842.03000000,64247.55000000,63672.26000000,64101.11000000,926.51971000,59293888.33335650,47060,454.99026000,29126687.96846790
1713330000000,64101.11000000,64499.00000000,63827.72000000,63928.01000000,1262.90670000,81046449.44876000,70170,651.70956000,41838485.67303890
1713333600000,63928.01000000,64000.00000000,63735.20000000,63880.92000000,1050.03470000,67066143.23283790,66665,541.64989000,34598599.75243160
1713337200000,63880.92000000,63935.56000000,63181.81000000,63297.84000000,1531.38708000,97223429.52319230,117908,805.79442000,51155725.38646270
1713340800000,63297.85000000,63587.88000000,63150.10000000,63325.75000000,1064.70584000,67511159.01374990,59490,571.91183000,36264587.19288960
1713344400000,63325.76000000,63539.99000000,63227.82000000,63320.16000000,849.87200000,53869775.40364730,50091,351.37133000,22271957.37222610
1713348000000,63320.16000000,63338.72000000,62752.31000000,62898.04000000,1568.92655000,98808751.91969270,74732,808.35602000,50907627.80702270
1713351600000,62898.05000000,63163.11000000,62541.13000000,62595.04000000,1045.35291000,65714923.32845460,67010,462.25621000,29067650.68528460
1713355200000,62595.04000000,62836.12000000,62061.44000000,62317.75000000,1955.59972000,122046148.54529490,103138,860.94085000,53731025.48777190
1713358800000,62317.76000000,62974.88000000,62128.99000000,62635.88000000,2169.72142000,135743274.60286740,99711,1161.53585000,72679202.71793040
1713362400000,62635.88000000,62657.55000000,60741.00000000,61279.66000000,7363.21411000,453071475.42839830,307877,3119.41462000,191933205.89811880
1713366000000,61279.65000000,61538.35000000,59888.00000000,60304.95000000,8213.02743000,497203726.14445580,352023,3644.56774000,220797391.27345770
1713369600000,60304.95000000,61100.00000000,59678.16000000,60194.95000000,5775.48183000,348890986.40703790,252865,2666.88373000,161158736.55245700
1713373200000,60194.96000000,61365.98000000,60119.11000000,61275.37000000,2521.30182000,153082179.19870310,115275,1430.80153000,86881707.06979450
1713376800000,61275.36000000,61956.42000000,61159.42000000,61445.57000000,2900.78693000,178808256.68599430,124502,1490.20936000,91863784.09230430
1713380400000,61445.57000000,61473.94000000,60727.38000000,61022.35000000,1892.75293000,115659020.37766830,88584,920.91638000,56280370.84071390
1713384000000,61022.36000000,61457.58000000,60777.00000000,60846.79000000,1207.41039000,73809530.85371660,69418,557.36499000,34088469.50446500
1713387600000,60846.79000000,61660.05000000,60846.78000000,61300.92000000,1247.74132000,76543275.97434480,68459,693.52351000,42540291.80861290
1713391200000,61300.93000000,61719.29000000,61160.34000000,61689.94000000,890.00540000,54659696.80934270,57774,515.27794000,31651625.18023060
1713394800000,61689.95000000,61763.07000000,61194.93000000,61277.37000000,765.69507000,47028802.42258480,48175,379.06500000,23280719.42489380
1713398400000,61277.38000000,61525.91000000,60939.92000000,61514.69000000,1644.39366000,100623873.32969370,82371,740.62696000,45342380.26485510
1713402000000,61514.68000000,61666.00000000,61382.92000000,61639.26000000,1116.89931000,68730476.07222200,57136,541.49028000,33323059.84597170
1713405600000,61639.26000000,61920.00000000,61457.73000000,61666.43000000,803.74729000,49551282.41190520,47899,394.55657000,24329746.74790360
1713409200000,61666.42000000,62229.90000000,61666.42000000,61988.00000000,1547.01736000,95956574.45788550,69512,874.94995000,54271875.83175840
1713412800000,61987.99000000,62075.46000000,61556.47000000,61640.06000000,1131.09467000,69980581.04227400,50391,475.98503000,29454241.05387760
1713416400000,61640.06000000,61814.61000000,60992.00000000,61072.02000000,1529.98166000,94009369.59352470,77973,599.71860000,36867094.65757110
1713420000000,61072.02000000,61320.00000000,60803.35000000,61147.83000000,1647.34058000,100600364.33237020,81257,770.62228000,47075555.18734180
1713423600000,61147.82000000,61362.32000000,60941.17000000,61178.08000000,1081.19943000,66133505.89070870,66304,515.99398000,31564389.14847850
1713427200000,61178.08000000,61550.00000000,60864.00000000,61335.99000000,1705.42064000,104387224.48385400,74694,814.83913000,49879954.75264730
1713430800000,61335.99000000,61710.14000000,61320.34000000,61636.50000000,1177.79368000,72444937.68572320,79267,653.76921000,40215872.15290760
1713434400000,61636.51000000,61925.63000000,61500.00000000,61821.75000000,1372.40950000,84637837.74505300,72884,798.56371000,49248931.76295280
1713438000000,61821.76000000,63072.27000000,61821.75000000,62597.92000000,4598.41039000,287757118.50847340,145969,2477.86246000,154973390.01436310
1713441600000,62597.92000000,62730.18000000,61580.71000000,62232.96000000,2164.68216000,134509749.28064010,114762,981.01333000,60952681.37946230
1713445200000,62232.96000000,62833.34000000,61896.90000000,62810.00000000,2627.15740000,163896300.03866030,131807,1314.68074000,82021253.28852020
1713448800000,62810.01000000,63970.81000000,62564.91000000,63816.57000000,5379.92656000,341386049.01985320,223292,2564.75413000,162824918.40892330
1713452400000,63816.56000000,64117.09000000,63427.47000000,63498.70000000,3007.48045000,191732242.11351420,139699,1481.69040000,94474193.14905470
1713456000000,63498.69000000,63866.19000000,63282.48000000,63536.72000000,1849.59978000,117535073.36916060,106692,941.28855000,59823839.15779950
1713459600000,63536.71000000,63624.38000000,62628.60000000,62782.75000000,1861.52928000,117568772.40423160,99683,797.21372000,50357815.19493500
1713463200000,62782.74000000,63219.00000000,62310.03000000,63104.68000000,1933.35652000,121393633.24349670,113570,899.76427000,56517261.06522810
1713466800000,63104.67000000,63576.00000000,63095.50000000,63477.04000000,1739.03734000,110117117.23606650,88912,759.79622000,48119009.88692840
1713470400000,63477.04000000,63637.50000000,63272.00000000,63490.98000000,1263.80230000,80161282.72273980,67728,470.74852000,29861699.47493710
1713474000000,63490.99000000,63825.74000000,63313.02000000,63473.28000000,908.15089000,57725886.46527130,60028,389.08542000,24733665.35572600
1713477600000,63473.27000000,63651.66000000,63162.77000000,63499.73000000,935.70951000,59358287.41035780,54020,381.86145000,24229823.73784900
1713481200000,63499.73000000,63665.50000000,63376.00000000,63470.08000000,575.46882000,36543910.02912250,36661,229.33214000,14564516.41951600
1713484800000,63470.09000000,63470.09000000,62654.56000000,62711.08000000,1323.61979000,83442782.71823490,78944,560.13539000,35306387.49560110
1713488400000,62711.08000000,62776.00000000,60618.97000000,61022.00000000,6396.68503000,393840505.61512850,214969,2930.23552000,180417845.89740540
1713492000000,61021.99000000,61390.00000000,59600.01000000,61359.58000000,7291.88881000,440127001.02069470,237321,3325.66834000,200855166.04603910
1713495600000,61359.57000000,62108.34000000,61140.00000000,61785.14000000,3912.27270000,241251131.75694210,133914,2117.95195000,130591007.06274800
1713499200000,61785.14000000,62800.07000000,61766.79000000,62439.49000000,3215.61184000,200653034.19084500,107823,1686.38297000,105222594.45849210
1713502800000,62439.49000000,62589.12000000,61739.68000000,62073.38000000,2031.09640000,126167240.91997490,88447,952.83610000,59197671.35114470
1713506400000,62073.39000000,64953.85000000,61809.93000000,64624.37000000,6553.23322000,416437755.91138510,233264,3707.68661000,235475668.36720090
1713510000000,64624.37000000,65179.00000000,64184.61000000,64547.18000000,4500.56274000,290680445.37547630,162988,2247.65320000,145184889.48073060
