variant,month,days,gross_profit,commission,net_profit,winning_days,losing_days,flat_days,halted_days,daily_resets,maker_fee,taker_fee,grid_pnl,trend_pnl,ending_equity
hybrid_trend_grid,2025-04,1,0.1694,0.5506,-0.3812,0,1,0,0,4,0.313276,0.220072,-0.3812,0.0,149.6188
hybrid_trend_grid,2025-05,31,73.5908,42.60549999999999,30.985299999999995,22,9,0,0,168,23.106517,17.379274000000002,32.2572,-1.2721000000000002,180.6041
hybrid_trend_grid,2025-06,30,85.93629999999997,42.740700000000004,43.1956,19,11,0,0,151,21.538083000000004,19.078751,43.11420000000001,0.08139999999999994,223.7997
hybrid_trend_grid,2025-07,31,108.3479,59.7697,48.578199999999995,21,10,0,0,167,31.868073000000006,25.203598,49.621,-1.0429,272.3779
hybrid_trend_grid,2025-08,31,7.011400000000004,71.5856,-64.57419999999999,12,19,0,0,171,36.553684999999994,31.329473,-64.05420000000001,-0.5199999999999999,207.8037
hybrid_trend_grid,2025-09,30,10.429099999999991,78.67609999999999,-68.24699999999999,15,15,0,0,153,37.46357999999999,37.733692999999995,-68.62110000000001,0.37389999999999995,139.5567
hybrid_trend_grid,2025-10,31,71.44699999999999,97.3572,-25.910199999999996,17,14,0,0,165,45.963542000000004,46.24858599999998,-24.6723,-1.2377,113.6465
hybrid_trend_grid,2025-11,30,92.7486,85.86739999999999,6.8812000000000015,18,12,0,0,155,47.72202700000001,33.72429,6.263000000000005,0.6184999999999999,120.5277
hybrid_trend_grid,2025-12,31,136.8323,99.70629999999997,37.12599999999998,23,8,0,0,129,50.835451000000006,44.363249,38.52949999999998,-1.4036,157.6537
hybrid_trend_grid,2026-01,31,50.48650000000004,119.41719999999998,-68.9307,15,16,0,0,135,59.14037599999999,54.792642,-67.85919999999999,-1.0713000000000001,88.723
hybrid_trend_grid,2026-02,28,183.2592,106.23380000000002,77.02539999999999,18,10,0,0,134,51.27057,48.575422999999994,77.6543,-0.6287,165.7484
hybrid_trend_grid,2026-03,31,185.95620000000002,185.77439999999999,0.18179999999999197,19,12,0,0,161,91.651916,85.026416,3.657499999999981,-3.4756,165.9302
hybrid_trend_grid,2026-04,30,228.47279999999998,169.91140000000001,58.561400000000006,18,12,0,0,135,94.62997,68.74273900000001,55.5194,3.0421,224.4916
