variant,month,days,gross_profit,commission,net_profit,winning_days,losing_days,flat_days,halted_days,daily_resets,maker_fee,taker_fee,grid_pnl,trend_pnl,ending_equity
fee_aware_grid,2025-04,1,-0.3625,0.9602,-1.3227,0,1,0,0,4,0.521752,0.401328,-1.3227,0.0,148.6773
fee_aware_grid,2025-05,31,30.810799999999993,63.10360000000001,-32.29279999999999,14,17,0,1,177,32.923449000000005,26.70848399999999,-32.29279999999999,0.0,116.3845
fee_aware_grid,2025-06,30,100.3789,67.41229999999999,32.966599999999985,17,13,0,0,156,36.30458,27.955915,32.966599999999985,0.0,149.3511
fee_aware_grid,2025-07,31,147.43840000000006,98.21419999999999,49.224199999999996,17,14,0,0,169,50.345262999999996,43.11446300000001,49.224199999999996,0.0,198.5753
fee_aware_grid,2025-08,31,114.89939999999999,117.0385,-2.1391000000000027,17,14,0,0,178,67.949082,44.141665,-2.1391000000000027,0.0,196.4362
fee_aware_grid,2025-09,30,51.5205,122.04289999999999,-70.52239999999998,14,16,0,0,152,71.035389,46.781725,-70.52239999999998,0.0,125.9138
fee_aware_grid,2025-10,31,190.8231,147.3998,43.42329999999999,18,13,0,2,167,72.922836,66.64004899999999,43.42329999999999,0.0,169.3371
fee_aware_grid,2025-11,30,179.0418,162.11580000000004,16.926000000000002,18,12,0,0,161,79.37846699999999,73.35877400000001,16.926000000000002,0.0,186.2631
fee_aware_grid,2025-12,31,394.26669999999996,193.82430000000002,200.44240000000005,22,9,0,0,138,99.469473,85.443983,200.44240000000005,0.0,386.7055
fee_aware_grid,2026-01,31,403.68750000000006,188.46790000000001,215.21959999999996,17,11,3,0,119,105.87903700000003,75.02909,215.21959999999996,0.0,601.9251
fee_aware_grid,2026-02,28,613.9945,241.8161,372.17839999999995,20,8,0,0,141,144.242126,86.245017,372.17839999999995,0.0,974.1035
fee_aware_grid,2026-03,31,600.0657,404.0369,196.02880000000005,16,15,0,0,169,224.76035799999994,161.67423900000003,196.02880000000005,0.0,1170.1323
fee_aware_grid,2026-04,30,547.4657,357.56210000000004,189.90359999999995,20,10,0,0,129,186.06775000000007,156.92741600000002,189.90359999999995,0.0,1360.0359
